"刘桂梅',",国家海洋环境预报中心,北京市,三维温盐流预报,北京海淀大慧寺八号
"刘宏伟',",中国科学院声学研究所,北京市,固体力学,北京市海淀区北四环西路21号
"刘纪元',",中国科学院声学研究所,北京市,信号处理,北京市海淀区北四环西路21号
"刘建强',",国家卫星海洋应用中心,北京市,海洋卫星及其应用,北京海淀大慧寺八号
"刘钦政',",自然资源部海洋减灾中心,北京市,海洋科学,北京市海淀区七王坟北路6号
"刘青松',",中国科学院地质与地球物理研究所,北京市,水声工程,北京市朝阳区北土城西路19号
"刘文',",水利发展研究中心,北京市,海洋化学,北京市玉渊潭南路3号
"刘煜',",国家海洋环境预报中心,北京市,海冰预报及预报技术研究,北京海淀大慧寺八号
"刘征涛',",中国环境科学研究院,北京市,军事气象水文,北京市朝阳区安外北苑大羊坊8号
"马超飞',",国家卫星海洋应用中心,北京市,海洋卫星及其应用,北京海淀大慧寺八号
"马吉增',",中国原子能科学院,北京市,辐射监测,北京市房山区新镇原子能科学研究院
"马力',",中国科学院声学研究所,北京市,水声物理,北京市海淀区北四环西路21号
"马晓川',",中国科学院声学研究所,北京市,信号处理,北京市海淀区北四环西路21号
"马燕合',",科技部社会发展科技司,北京市,海洋化学,北京市复兴路乙15号
"梅山',",国家海洋环境预报中心,北京市,海洋资料同化,北京海淀大慧寺八号
"孟上',",国家海洋环境预报中心,北京市,极地气象预报与研究,北京海淀大慧寺八号
"庞忠和',",中国科学院地质与地球物理研究所,北京市,水声工程,北京市朝阳区北土城西路19号
"彭爱武',",中国科学院电工研究所,北京市,并网及独立运行风力发电,北京市海淀区中关村北二条六号
"彭朝晖',",中国科学院声学研究所,北京市,信号处理,北京市海淀区北四环西路21号
"彭海龙',",国家卫星海洋应用中心,北京市,遥感定标,北京海淀大慧寺八号
"乔然',",国家海洋环境预报中心,北京市,海洋资料同化,北京海淀大慧寺八号
"任建国',",国家自然科学基金委员会地球科学部,北京市,海洋化学,北京市海淀区双清路83号
"史文杰',",中国航天科工集团三院8358所,北京市,光电技术,北京市丰台区云岗北区西里1号
"宋海斌',",中国科学院地质与地球物理研究所,北京市,水声工程,北京市朝阳区北土城西路19号
"宋学家',",国家海洋环境预报中心,北京市,物理海洋，海洋水文,北京海淀大慧寺八号
"宋豫秦',",北京大学,北京市,海洋地质环境,北京市海淀区颐和园路5号
"苏奋振',",中科院地理科学与资源研究所,北京市,海岸带开发利用遥感与地理信息,北京市朝阳区大屯路甲11号
"孙长瑜',",中国科学院声学研究所,北京市,水声物理,北京市海淀区北四环西路21号
"孙从容',",国家卫星海洋应用中心,北京市,海洋卫星工程,北京海淀大慧寺八号
"孙贵青',",中国科学院声学研究所,北京市,水声物理,北京市海淀区北四环西路21号
"汤万金',",中国标准化研究院,北京市,海洋标准化研究,北京市海淀区知春路4号
"滕骏华',",国家海洋环境预报中心,北京市,海洋环境资料处理方法研究、业务化数据处理流程建设、数据质量控制方法研究、产品开发制作、相关标准与规范的制修定等,北京海淀大慧寺八号
"万莉颖',",国家海洋环境预报中心,北京市,海洋环流数值预报,北京海淀大慧寺八号
"王长红',",中国科学院声学研究所,北京市,水声物理,北京市海淀区北四环西路21号
"王芳',",自然资源部海洋发展战略研究所,北京市,海洋政策与管理,暂无
"王海斌',",中国科学院声学研究所,北京市,信号与信息处理,北京市海淀区北四环西路21号
"王辉',",国家海洋环境预报中心,北京市,物理海洋学,北京海淀大慧寺八号
"王其茂',",国家卫星海洋应用中心,北京市,海洋卫星工程,北京海淀大慧寺八号
"王秀明',",中国科学院声学研究所,北京市,信号与信息处理,北京市海淀区北四环西路21号
"王旭',",国家海洋环境预报中心,北京市,三维温盐流预报,北京海淀大慧寺八号
"王毅',",国家海洋环境预报中心,北京市,物理海洋学,北京海淀大慧寺八号
"王彰贵',",国家海洋环境预报中心,北京市,物理海洋学,北京海淀大慧寺八号
"王正伟',",清华大学,北京市,环境工程,北京市海淀区清华大学
"魏立新',",国家海洋环境预报中心,北京市,物理海洋学,北京海淀大慧寺八号
"吴朝东',",北京大学,北京市,海洋地球物理学,北京市海淀区颐和园路5号
"吴皓',",中科院大气物理研究所,北京市,大气探测与大气遥感,暂无
"吴淑萍',",国家海洋环境预报中心,北京市,海浪预报与科研工作,北京海淀大慧寺八号
"吴晓磊',",北京大学,北京市,环境微生物,北京市海淀区颐和园路5号
"肖钢',",中海油研究总院新能源研究中心,北京市,暂无,北京市昌平区未来科技城东路与英才南三街交叉口
"谢春华',",国家卫星海洋应用中心,北京市,卫星系统工程,北京海淀大慧寺八号
