"郑怀平',",汕头大学,广东省,海洋生物,广东省汕头市大学路243号
"郑善传',",自然资源部南海局,广东省,海洋标准计量与鉴定,广东省广州市海珠区新港中路353号
"郑卓',",中山大学,广东省,大陆边缘地质学,广东省广州市新港西路135号
"周翠英',",中山大学,广东省,近岸海洋工程与水利工程,广东省广州市新港西路135号
"周厚诚',",广东省海洋资源研究发展中心,广东省,港航设计专业,广东省广州市先烈中路100号大院34号
"周巨锁',",自然资源部南海局,广东省,海洋测绘,广东省广州市海珠区新港中路353号
"周瑞莲',",广东省海洋与渔业厅,广东省,海洋生物,广东省广州市海珠区南村路10号
"周生启',",中国科学院南海海洋研究所,广东省,深海动力学,广东省广州市海珠区新港西路164号
"周雄',",自然资源部南海局,广东省,水文气象,广东省广州市海珠区新港中路353号
"周雪峰',",中国科学院南海海洋研究所,广东省,海洋生物活性物质,广东省广州市海珠区新港西路164号
"周英',",自然资源部南海局,广东省,海底构造与海洋地球物理,广东省广州市海珠区新港中路353号
"朱长波',",中国水产科学研究院南海水产研究所,广东省,海水综合养殖模式,广东省深圳市龙岗区大碓村83号
"庄泽彬',",自然资源部南海局,广东省,海洋环境监测与评价,广东省广州市海珠区新港中路353号
"邹记兴',",华南农业大学,广东省,海洋生物,广东省广州市天河区五山街五山路483号
"邹世春',",中山大学,广东省,物理海洋学,广东省广州市新港西路135号
"陈波',",广西科学院,广西壮族自治区,物理海洋，海洋水文,广西南宁市大岭路98号
"陈晓汉',",广西水产科学研究院,广西壮族自治区,物理海洋，海洋水文,广西南宁市青山路8号
"邓朝亮',",广西红树林研究中心,广西壮族自治区,物理海洋，海洋水文,广西长青东路92号
"范航清',",广西红树林研究中心,广西壮族自治区,海洋生态,广西长青东路92号
"方龙驹',",广西壮族自治区水文水资源局,广西壮族自治区,海洋环境监测与评价,广西南宁市青秀区建政路12号
"黄初升',",南宁师范大学,广西壮族自治区,有机化学,暂无
"黄鹄',",钦州学院,广西壮族自治区,鱼类免疫学,暂无
"蒋明星',",广西国土资源厅,广西壮族自治区,海洋生物,广西南宁市中新路2号
"兰国宝',",广西红树林研究中心,广西壮族自治区,海洋生物,广西长青东路92号
"黎广钊',",广西红树林研究中心,广西壮族自治区,海底构造与海洋地球物理,广西长青东路92号
"李树华',",广西北海市政协,广西壮族自治区,物理海洋，海洋水文,广西北海市海城区北海大道169号
"李占元',",广西壮族自治区测绘局,广西壮族自治区,海洋测量工程,广西南宁市建政路5号
"梁文',",广西红树林研究中心,广西壮族自治区,海洋生物,广西长青东路92号
"陆宏健',",广西交通规划勘察设计研究院,广西壮族自治区,港口航道与海岸工程,广西南宁市民族大道153号
"童万平',",广西海洋研究所,广西壮族自治区,海洋化学,广西北海市海城区长青东路92号
"韦善豪',",钦州学院,广西壮族自治区,自然地理学,广西钦州市滨海新城滨海大道12号
"韦忠',",广西壮族自治区海洋和渔业厅,广西壮族自治区,海洋生物,广西南宁市青山路8号
"阎冰',",广西红树林研究中心,广西壮族自治区,海底构造与海洋地球物理,广西长青东路92号
"杨小雄',",南宁师范大学,广西壮族自治区,有机化学,暂无
"叶维强',",北海市旅游局,广西壮族自治区,旅游管理,广西北海市贵州路35号
"张晨晓',",钦州学院,广西壮族自治区,生物医学工程,广西钦州市滨海新城滨海大道12号
"钟秋平',",钦州学院,广西壮族自治区,有机化学,广西钦州市滨海新城滨海大道12号
"周浩郎',",广西红树林研究中心,广西壮族自治区,海洋植物,广西长青东路92号
"陈春华',",海南省海洋与渔业科学院,海南省,环境海洋学,海南省海口市海府路69号
"傅捷',",海南省海洋与渔业科学院,海南省,环境海洋学,海南省海口市海府路69号
"林斌群',",海南省海洋与渔业科学院,海南省,环境海洋学,海南省海口市海府路69号
"王道儒',",海南省海洋与渔业科学院,海南省,环境海洋学,海南省海口市海府路69号
"陈秀敏',",河北农业大学,河北省,水产养殖,河北省保定灵雨寺街289号
"杜兴明',",河北省地矿局,河北省,水文工程地质,河北省石家庄市桥西区工农路410号
"付仲',",河北省海洋与水产科学研究院,河北省,海洋生物,河北省秦皇岛市东港路2号
"高晓莉',",河北农业大学,河北省,水产动物生化,河北省保定灵雨寺街289号
"宫春光',",河北农业大学,河北省,水产动物病害,河北省保定灵雨寺街289号
"顾建清',",河北省科学院地理科学研究所,河北省,渔业机械,河北省石家庄市长安区长安西大街94号五方中心
"管越强',",河北大学,河北省,海洋生物学,河北省保定市五四东路180号
"康现江',",河北大学,河北省,水生生物学,河北省保定市五四东路180号
"李怡群',",河北省海洋与水产科学研究院,河北省,渔业机械,河北省秦皇岛市东港路2号
"李志霞',",河北农业大学,河北省,水生生物,河北省保定灵雨寺街289号
"梁淑轩',",河北大学,河北省,农畜水产品贮藏与加工,河北省保定市五四东路180号
"刘红英',",河北农业大学,河北省,水生生物,河北省保定灵雨寺街289号
"刘芃岩',",河北大学,河北省,农畜水产品贮藏与加工,河北省保定市五四东路180号
"刘增寿',",河北省地矿局,河北省,水文工程地质,河北省石家庄市桥西区工农路410号
"刘志强',",河北大学,河北省,水生生物学,河北省保定市五四东路180号
"马寨璞',",河北大学,河北省,农畜水产品贮藏与加工,河北省保定市五四东路180号
"齐凤生',",河北农业大学,河北省,水产品加工工艺,河北省保定灵雨寺街289号
"齐遵利',",河北农业大学,河北省,水产养殖,河北省保定灵雨寺街289号
"任晓慧',",河北农业大学,河北省,生物化学与细胞生物学,河北省保定灵雨寺街289号
"桑亚新',",河北农业大学,河北省,海洋食品资源加工利用,河北省保定灵雨寺街289号
"申淑琦',",河北农业大学,河北省,农畜水产品贮藏与加工,河北省保定灵雨寺街289号
"宋波澜',",河北农业大学,河北省,水生生物,河北省保定灵雨寺街289号
"宋青春',",河北农业大学,河北省,水产养殖,河北省保定灵雨寺街289号
"苏利',",河北农业大学,河北省,淡水渔业,河北省保定灵雨寺街289号
"王颉',",河北农业大学,河北省,海洋食品资源加工利用,河北省保定灵雨寺街289号
"王向红',",河北农业大学,河北省,海洋食品资源加工利用,河北省保定灵雨寺街289号
"吴新民',",河北省海洋与水产科学研究院,河北省,微生物生化,河北省秦皇岛市东港路2号
"邢忠信',",河北省地矿局,河北省,水文工程地质,河北省石家庄市桥西区工农路410号
"徐春霞',",河北农业大学,河北省,水生生物,河北省保定灵雨寺街289号
"徐全洪',",河北省科学院地理科学研究所,河北省,渔业机械,河北省石家庄市长安区长安西大街94号五方中心
"燕惠源',",河北南堡盐场,河北省,海洋化工,河北省唐山市曹妃甸区文明道402
"杨燕雄',",河北省地矿局,河北省,海底构造与海洋地球物理,河北省石家庄市桥西区工农路410号
"张伟',",河北农业大学,河北省,海洋食品资源加工利用,河北省保定灵雨寺街289号
"张志胜',",河北农业大学,河北省,海洋食品资源加工利用,河北省保定灵雨寺街289号
"赵春民',",河北农业大学,河北省,海淡水鱼虾蟹繁育,河北省保定灵雨寺街289号
"赵艳珍',",河北农业大学,河北省,海水养殖与管理,河北省保定灵雨寺街289号
"赵振宏',",河北省地矿局,河北省,水文工程地质,河北省石家庄市桥西区工农路410号
"赵振良',",河北省海洋与水产科学研究院,河北省,微生物生化,河北省秦皇岛市东港路2号
"周军',",河北省海洋与水产科学研究院,河北省,渔业机械,河北省秦皇岛市东港路2号
"徐玉如',",哈尔滨工程大学,黑龙江省,水下机器人,黑龙江省哈尔滨市南岗区南通大街145号
"杨德森',",哈尔滨工程大学,黑龙江省,矢量声呐技术、水下声隐身振动噪声测量技术,黑龙江省哈尔滨市南岗区南通大街145号
"郝燕玲',",哈尔滨工程大学,黑龙江省,舰船导航技术,黑龙江省哈尔滨市南岗区南通大街145号
"张亮',",哈尔滨工程大学,黑龙江省,船舶与海洋工程计算流体力学,黑龙江省哈尔滨市南岗区南通大街145号
"张金麟',",中国船舶重工集团公司第七一九研究所,湖北省,船舶与海洋工程,湖北省武汉市江夏区藏龙岛开发区杨桥湖大道19号
"朱英富',",中国船舶重工集团公司第七〇一研究所,湖北省,船舶与海洋工程,湖北省宜昌市胜利三路58号
"蔡庆华',",中国科学院水生生物研究所,湖北省,系统与流域生态学,湖北省武汉市武昌东湖南路7号
"察豪',",海军工程大学,湖北省,雷达工程,湖北省武汉市硚口区解放大道717号
"陈晓玲',",武汉大学,湖北省,高频地波雷达海洋探测理论与技术,湖北省武汉市武昌区珞珈山街16号
"陈泽宗',",武汉大学,湖北省,无线电海洋海洋环境监测技术,湖北省武汉市武昌区珞珈山街16号
"段桂林',",中国船舶重工集团公司第七一O研究所,湖北省,水雷非触发引信专业,湖北省宜昌体育场路15号
"鄂栋臣',",武汉大学,湖北省,无线电海洋海洋环境监测技术,湖北省武汉市武昌区珞珈山街16号
"桂建芳',",中国科学院水生生物研究所,湖北省,鱼类遗传育种学,湖北省武汉市武昌东湖南路7号
"何舜平',",中国科学院水生生物研究所,湖北省,鱼类系统学与生物地理学,湖北省武汉市武昌东湖南路7号
"柯亨玉',",武汉大学,湖北省,无线电海洋监测技术,湖北省武汉市武昌区珞珈山街16号
"李斐',",武汉大学,湖北省,无线电海洋监测技术,湖北省武汉市武昌区珞珈山街16号
"李建成',",武汉大学,湖北省,地球重力场,湖北省武汉市武昌区珞珈山街16号
"李仁辉',",中国科学院水生生物研究所,湖北省,有害藻类生物学,湖北省武汉市武昌东湖南路7号
"李钟杰',",中国科学院水生生物研究所,湖北省,水产养殖,湖北省武汉市武昌东湖南路7号
"刘祖源',",武汉理工大学,湖北省,海洋测绘,湖北省武汉市珞狮路122号
"倪乐意',",中国科学院水生生物研究所,湖北省,水生植物与生态学,湖北省武汉市武昌东湖南路7号
"聂桂根',",武汉大学,湖北省,空间大地测量,湖北省武汉市武昌区珞珈山街16号
"聂品',",中国科学院水生生物研究所,湖北省,鱼类免疫学,湖北省武汉市武昌东湖南路7号
"牛小骥',",武汉大学,湖北省,GNSS与INS组合导航,湖北省武汉市武昌区珞珈山街16号
"庞小平',",武汉大学,湖北省,地图学与地理信息系统,湖北省武汉市武昌区珞珈山街16号
"宋立荣',",中国科学院水生生物研究所,湖北省,藻种资源与藻类毒理学,湖北省武汉市武昌东湖南路7号
"唐卫明',",武汉大学,湖北省,大地测量与测量工程,湖北省武汉市武昌区珞珈山街16号
"田礼乔',",武汉大学,湖北省,定量遥感,湖北省武汉市武昌区珞珈山街16号
"汪东平',",中国船舶重工集团公司第七一O研究所,湖北省,检测技术及仪器,湖北省宜昌体育场路15号
"王丁',",中国科学院水生生物研究所,湖北省,鲸类保护生物学,湖北省武汉市武昌东湖南路7号
"王洪铸',",中国科学院水生生物研究所,湖北省,底栖动物分类与生态,湖北省武汉市武昌东湖南路7号
"王泽民',",武汉大学,湖北省,定量遥感,湖北省武汉市武昌区珞珈山街16号
"文必洋',",武汉大学,湖北省,高频无线电海洋遥感理论与技术,湖北省武汉市武昌区珞珈山街16号
"吴念',",中国船舶重工集团公司第七0一研究所,湖北省,水雷非触发引信专业,湖北省武汉市武昌区首义路129号
"吴雄斌',",武汉大学,湖北省,高频地波雷达海洋探测理论与技术,湖北省武汉市武昌区珞珈山街16号
"吴振斌',",中国科学院水生生物研究所,湖北省,净化与恢复生态学,湖北省武汉市武昌东湖南路7号
"肖武汉',",中国科学院水生生物研究所,湖北省,分子毒理学,湖北省武汉市武昌东湖南路7号
"谢平',",中国科学院水生生物研究所,湖北省,湖泊生态学,湖北省武汉市武昌东湖南路7号
"叶世榕',",武汉大学,湖北省,卫星导航定位技术应用,湖北省武汉市武昌区珞珈山街16号
"曾立波',",武汉大学,湖北省,光谱分析仪器,湖北省武汉市武昌区珞珈山街16号
"张奇亚',",中国科学院水生生物研究所,湖北省,水生病毒学及其分子生物学,湖北省武汉市武昌东湖南路7号
"张先锋',",中国科学院水生生物研究所,湖北省,鲸类保护生物学,湖北省武汉市武昌东湖南路7号
"赵建虎',",武汉大学,湖北省,海洋测绘,湖北省武汉市武昌区珞珈山街16号
"宋君强',",国防科技大学,湖南省,大气科学工程与技术,暂无
"张雪明',",东北师范大学,吉林省,可再生能源与应用机电技术,吉林省长春市南关区人民大街5268号
"徐芑南',",中国船舶重工集团公司第702研究所,江苏省,深潜器技术,中国江苏省无锡市滨湖区山水东路222号
"白世彪',",南京师范大学,江苏省,地貌过程与灾害防御与风险分析,江苏省南京市宁海路122号
"陈爱华',",江苏省海洋水产研究所,江苏省,水产养殖,江苏省南通市崇川区教育路31号
"陈百尧',",连云港市海洋与水产科学研究所,江苏省,水产养殖,江苏省连云港市小高线与核电路交叉口东南150米
"陈国平',",河海大学,江苏省,港口海岸及近海工程教学,江苏省南京市西康路1号
"陈丽',",江苏省海洋资源开发研究院,江苏省,水产动物病害,江苏省连云港市海州区通灌南路108-1号
"陈淑吟',",江苏省海洋水产研究所,江苏省,水产养殖,江苏省南通市崇川区教育路31号
"陈爽',",中科院南京地理与湖泊研究所,江苏省,城市生态学,江苏省南京市北京东路73号
"邓湘莲',",连云港市海州区农林水利局,江苏省,水产养殖,江苏省连云港市朝阳西路109-1号
"方位达',",江苏省测绘工程院,江苏省,测绘工程,江苏省南京市北京西路75号
"葛晨东',",南京大学,江苏省,水产养殖,江苏省南京市汉口路22号
"何秀凤',",河海大学,江苏省,卫星测高,江苏省南京市西康路1号
"何宜军',",南京信息工程大学海洋科学学院,江苏省,电磁场与微波技术,南京市宁六路219号，210044
"侯书贵',",南京大学,江苏省,极地科学与全球变化,江苏省南京市汉口路22号
"胡维平',",中科院南京地理与湖泊研究所,江苏省,物理湖泊学,江苏省南京市北京东路73号
"黄震方',",南京师范大学,江苏省,旅游科学,江苏省南京市宁海路122号
"吉红九',",江苏省海洋水产研究所,江苏省,海洋生物,江苏省南通市崇川区教育路31号
"蒋国荣',",解放军理工大学,江苏省,物理海洋学,江苏省南京市秦淮区后标营路88号
"蒋少涌',",南京大学,江苏省,地质年代学,江苏省南京市汉口路22号
"李恒鹏',",中科院南京地理与湖泊研究所,江苏省,流域水文与水环境过程模拟,江苏省南京市北京东路73号
"李建宏',",南京师范大学,江苏省,植物学,江苏省南京市宁海路122号
"李龙',",河海大学,江苏省,流体机械及工程,江苏省南京市西康路1号
"李瑞杰',",河海大学,江苏省,河口海岸学,江苏省南京市西康路1号
"林祥',",河海大学,江苏省,海洋动力要素相互作用机制理论研究,江苏省南京市西康路1号
"刘培廷',",江苏省海洋水产研究所,江苏省,海洋捕捞,江苏省南通市崇川区教育路31号
"刘玮炜',",淮海工学院,江苏省,海洋药物,江苏省连云港市新浦区苍梧路59号
"陆勤勤',",江苏省海洋水产研究所,江苏省,水产养殖,江苏省南通市崇川区教育路31号
"马飞',",南京师范大学,江苏省,海洋动物比较基因组学,江苏省南京市宁海路122号
"申欣',",淮海工学院,江苏省,海洋生物基因组学,江苏省连云港市新浦区苍梧路59号
"盛建明',",江苏省海涂研究中心,江苏省,海洋环境评价,江苏省南京市汉中门大街300号
"宋晓村',",江苏省海涂研究中心,江苏省,海洋环境评价,江苏省南京市汉中门大街300号
"宋玉兵',",江苏省测绘工程院,江苏省,测绘工程,江苏省南京市北京西路75号
"孙红英',",南京师范大学,江苏省,海洋动物比较基因组学,江苏省南京市宁海路122号
"汤建华',",江苏省海洋水产研究所,江苏省,海洋捕捞,江苏省南通市崇川区教育路31号
"汪晓慧',",连云港市渔业技术指导站,江苏省,水产养殖疫病预防控制,江苏省连云港市朝阳中路14号
"汪亚平',",南京大学,江苏省,海底构造与海洋地球物理,江苏省南京市汉口路22号
"王国祥',",南京师范大学,江苏省,水生生态学,江苏省南京市宁海路122号
"王坚红',",南京信息工程大学,江苏省,海洋气象学,江苏省南京市宁六路219号
"王建',",南京师范大学,江苏省,水产养殖,江苏省南京市宁海路122号
"王让会',",南京信息工程大学,江苏省,遥感应用及景观生态,江苏省南京市宁六路219号
"王文',",南京师范大学,江苏省,海洋动物比较基因组学,江苏省南京市宁海路122号
"王晓蓉',",南京大学,江苏省,污染物存在形态,江苏省南京市汉口路22号
"王义刚',",河海大学,江苏省,海洋动力要素相互作用机制理论研究,江苏省南京市西康路1号
"王振会',",南京信息工程大学,江苏省,大气探测与大气遥感,江苏省南京市宁六路219号
"魏爱泓',",江苏省海涂研究中心,江苏省,海洋生态环境保护,江苏省南京市汉中门大街300号
"吴峰',",河海大学,江苏省,可再生能源发电系统的建模与控制,江苏省南京市西康路1号
"吴建新',",淮海工学院,江苏省,海洋生物学,江苏省连云港市新浦区苍梧路59号
"谢宏全',",淮海工学院,江苏省,海洋带生态环境,江苏省连云港市新浦区苍梧路59号
"谢小华',",连云港市海洋环境监测中心,江苏省,海洋环境监测与评价,江苏省连云港市海州区朝阳中路14号
"邢闽',",江苏省测绘工程院,江苏省,测绘工程,江苏省南京市北京西路75号
"徐地保',",江苏省测绘工程院,江苏省,工程测量,江苏省南京市北京西路75号
"徐敏',",南京师范大学,江苏省,自然地理学,江苏省南京市宁海路122号
"徐青',",河海大学,江苏省,海洋遥感与物理海洋学,江苏省南京市西康路1号
"许长新',",河海大学,江苏省,水运经济,江苏省南京市西康路1号
"许璞',",江苏省海洋水产研究所,江苏省,海洋生物学,暂无
"许祝华',",连云港市海域使用保护动态管理中心,江苏省,海域海岛综合管理、 海域海岛使用信息化动态监管、海洋管理新技术研究与应用,江苏省连云港市朝阳中路14号
"阎斌伦',",淮海工学院,江苏省,海洋水产养殖,江苏省连云港市新浦区苍梧路59号
"杨光',",南京师范大学,江苏省,海洋动物比较基因组学,江苏省南京市宁海路122号
"杨桂山',",中科院南京地理与湖泊研究所,江苏省,土地利用与环境效应,江苏省南京市北京东路73号
"杨家新',",南京师范大学,江苏省,水产养殖,江苏省南京市宁海路122号
"杨山',",南京师范大学,江苏省,区域发展与城乡规划,江苏省南京市宁海路122号
"杨修群',",南京大学,江苏省,污染物存在形态,江苏省南京市汉口路22号
"姚东瑞',",淮海工学院,江苏省,海洋技术,江苏省连云港市新浦区苍梧路59号
"姚国兴',",江苏省海洋水产研究所,江苏省,海洋生物,江苏省南通市崇川区教育路31号
"张爱明',",江苏省测绘工程院,江苏省,信息工程,江苏省南京市北京西路75号
"张朝晖',",江苏省海洋水产研究所,江苏省,海洋渔业,江苏省南通市崇川区教育路31号
"张景飞',",南京大学,江苏省,污染物存在形态,江苏省南京市汉口路22号
"张落成',",中科院南京地理与湖泊研究所,江苏省,产业发展与布局,江苏省南京市北京东路73号
"张美如',",江苏省海洋水产研究所,江苏省,海水养殖与管理,江苏省南通市崇川区教育路31号
"张忍顺',",南京师范大学,江苏省,海岸演变,江苏省南京市宁海路122号
"张玮',",河海大学,江苏省,海洋动力要素相互作用机制理论研究,江苏省南京市西康路1号
"张晓君',",淮海工学院,江苏省,海洋生物学,江苏省连云港市新浦区苍梧路59号
"张志勇',",江苏省海洋水产研究所,江苏省,海水养殖与管理,江苏省南通市崇川区教育路31号
"赵新伟',",江苏省海涂研究中心,江苏省,海洋生物生态监测与评价,江苏省南京市汉中门大街300号
"郑金海',",河海大学,江苏省,港口航道与海岸工程,江苏省南京市西康路1号
"郑源',",河海大学,江苏省,水利水电工程,江苏省南京市西康路1号
"仲霞铭',",江苏省海洋水产研究所,江苏省,海洋渔业,江苏省南通市崇川区教育路31号
"周德山',",连云港市海洋环境监测中心,江苏省,海域海岛综合管理、 海域海岛使用信息化动态监管、海洋管理新技术研究与应用,江苏省连云港市海州区朝阳中路14号
"周开亚',",南京师范大学,江苏省,水产养殖,江苏省南京市宁海路122号
"周立',",淮海工学院,江苏省,海洋测量,江苏省连云港市新浦区苍梧路59号
"周涛',",中国船舶重工集团公司第七二四研究所,江苏省,无线电技术,江苏省南京市中山北路346号
"周卫',",南京师范大学,江苏省,海岸演变,江苏省南京市宁海路122号
"朱孔文',",连云港市海洋与渔业局,江苏省,海域海岛综合管理、 海域海岛使用信息化动态监管、海洋管理新技术研究与应用,江苏省连云港市新浦区朝阳中路14号
"朱士才',",江苏省测绘工程院,江苏省,摄影测量与遥感,江苏省南京市北京西路75号
"朱晓东',",南京大学,江苏省,污染物存在形态,江苏省南京市汉口路22号
"朱振乐',",江苏省赣榆县海洋与渔业局,江苏省,海域管理,江苏省连云港市赣榆县金海东路44号
"邹欣庆',",南京大学,江苏省,海岸带管理研究,江苏省南京市汉口路22号
"左军成',",河海大学,江苏省,潮波动力学,江苏省南京市西康路1号
"左其华',",南京水利科学研究院,江苏省,水产养殖,江苏省南京市鼓楼区虎踞关34号
"朱蓓薇',",大连工业大学,辽宁省,海洋食品,大连市甘井子区轻工苑1号
"白毅平',",大连工业大学,辽宁省,海洋灾害预警预报,大连市甘井子区轻工苑1号
"毕远溥',",辽宁省海洋水产科学研究院,辽宁省,海岛海岸带开发,辽宁省大连市沙河口区黑石礁街50号
"曹旭鹏',",中国科学院大连化学物理研究所,辽宁省,微藻生物工程与微藻规模培养,辽宁省大连市沙河口区中山路457号
"常亚青',",大连海洋大学,辽宁省,海洋生物学,辽宁省大连市沙河口区黑石礁街52号
"陈伟斌',",国家海洋环境监测中心,辽宁省,物理海洋学,辽宁省大连市沙河口区凌河街42号
"陈勇',",大连海洋大学,辽宁省,渔业资源与环境,辽宁省大连市沙河口区黑石礁街52号
"丛丕福',",国家海洋环境监测中心,辽宁省,海洋环境要素遥感反演,辽宁省大连市沙河口区凌河街42号
"崔巍',",大连海事大学,辽宁省,工商管理,辽宁省大连市凌海路1号
"戴洪亮',",国家海洋环境监测中心,辽宁省,海洋环境要素遥感反演,辽宁省大连市沙河口区凌河街42号
"丁君',",大连海洋大学,辽宁省,海洋生物,辽宁省大连市沙河口区黑石礁街52号
"丁晓非',",大连海洋大学,辽宁省,船舶材料强度及生物仿生材料研究,辽宁省大连市沙河口区黑石礁街52号
"董婧',",辽宁省海洋水产科学研究院,辽宁省,海洋生物生态,辽宁省大连市沙河口区黑石礁街50号
"杜昱光',",中国科学院大连化学物理研究所,辽宁省,生物化工,辽宁省大连市沙河口区中山路457号
"樊景凤',",国家海洋环境监测中心,辽宁省,海洋生态学,辽宁省大连市沙河口区凌河街42号
"付晚涛',",大连海洋大学,辽宁省,海洋生物,辽宁省大连市沙河口区黑石礁街52号
"付元宾',",国家海洋环境监测中心,辽宁省,海洋空间规划、海岛海岸带资源环境,辽宁省大连市沙河口区凌河街42号
"勾维民',",大连海洋大学,辽宁省,海洋水产领域政策现实问题评价,辽宁省大连市沙河口区黑石礁街52号
"郭皓',",国家海洋环境监测中心,辽宁省,海洋生态学,辽宁省大连市沙河口区凌河街42号
"郭皓',",国家海洋环境监测中心,辽宁省,海洋环境生态,辽宁省大连市沙河口区凌河街42号
"郭威',",中国科学院沈阳自动化研究所,辽宁省,水下机器人及相关水下装备研发,辽宁省沈阳市沈河区南塔街114号
"韩家波',",辽宁省海洋水产科学研究院,辽宁省,海洋渔业,辽宁省大连市沙河口区黑石礁街50号
"韩建波',",国家海洋环境监测中心,辽宁省,涉海工程环境保护方法,辽宁省大连市沙河口区凌河街42号
"韩康',",国家海洋环境监测中心,辽宁省,海洋水文动力环境调查与评价,辽宁省大连市沙河口区凌河街42号
"韩立新',",大连海事大学,辽宁省,国际法学,辽宁省大连市凌海路1号
"韩胜菊',",大连海洋大学,辽宁省,渔业资源信息系统,辽宁省大连市沙河口区黑石礁街52号
"韩增林',",辽宁师范大学,辽宁省,人文地理科研,暂无
"何洁',",大连海洋大学,辽宁省,海洋化学,辽宁省大连市沙河口区黑石礁街52号
"霍城',",国家海洋环境监测中心,辽宁省,海水环境质量评价,辽宁省大连市沙河口区凌河街42号
"霍传林',",国家海洋环境监测中心,辽宁省,海洋环境监测与评价,辽宁省大连市沙河口区凌河街42号
"姜连新',",辽宁省海洋水产科学研究院,辽宁省,科研管理,辽宁省大连市沙河口区黑石礁街50号
"姜志强',",大连海洋大学,辽宁省,水产养殖,辽宁省大连市沙河口区黑石礁街52号
"孔繁东',",大连工业大学,辽宁省,水产品加工技术研究,暂无
"孔亮',",大连海洋大学,辽宁省,海洋污染物与海洋生物相关性研究,辽宁省大连市沙河口区黑石礁街52号
"李勃',",大连市水产技术推广总站,辽宁省,海洋生物,辽宁省大连市滨海西路80号
"李宏俊',",国家海洋环境监测中心,辽宁省,海洋生态监测评价、分子生态学,辽宁省大连市沙河口区凌河街42号
"李庆伟',",辽宁师范大学,辽宁省,海洋生物学,暂无
"李伟',",大连海洋大学,辽宁省,生物化学,辽宁省大连市沙河口区黑石礁街52号
"李文姬',",辽宁省海洋水产科学研究院,辽宁省,海水增养殖技术,辽宁省大连市沙河口区黑石礁街50号
"李秀辰',",大连海洋大学,辽宁省,海洋农业,辽宁省大连市沙河口区黑石礁街52号
"李亚楠',",国家海洋环境监测中心,辽宁省,海洋环境监测业务管理,辽宁省大连市沙河口区凌河街42号
"李一平',",中国科学院沈阳自动化研究所,辽宁省,机器人控制系统研究,辽宁省沈阳市沈河区南塔街114号
"李颖',",大连海事大学,辽宁省,计算机科学与技术,辽宁省大连市凌海路1号
"李悦铮',",辽宁师范大学,辽宁省,区域经济,暂无
"李振福',",大连海事大学,辽宁省,交通运输规划与管理,辽宁省大连市凌海路1号
"李智刚',",中国科学院沈阳自动化研究所,辽宁省,水下机器人研究,辽宁省沈阳市沈河区南塔街114号
"林凤翱',",国家海洋环境监测中心,辽宁省,海洋赤潮监测,辽宁省大连市沙河口区凌河街42号
"林扬',",中国科学院沈阳自动化研究所,辽宁省,水下机器人研究,辽宁省沈阳市沈河区南塔街114号
"林忠胜',",国家海洋环境监测中心,辽宁省,海洋环境监测与评价技术研发,辽宁省大连市沙河口区凌河街42号
"刘长安',",国家海洋环境监测中心,辽宁省,海洋生态保护与管理,辽宁省大连市沙河口区凌河街42号
"刘长发',",大连海洋大学,辽宁省,生物环境地球化学,辽宁省大连市沙河口区黑石礁街52号
"刘海映',",大连海洋大学,辽宁省,渔业资源增殖,辽宁省大连市沙河口区黑石礁街52号
"刘仁沿',",国家海洋环境监测中心,辽宁省,海洋化学及赤潮生态学,辽宁省大连市沙河口区凌河街42号
"刘瑀',",大连海事大学,辽宁省,海洋科学,辽宁省大连市凌海路1号
"刘增武',",中国船舶重工集团公司第七六〇研究所,辽宁省,海洋技术,辽宁省大连市中山区海滨街14号
"鲁明羽',",大连海事大学,辽宁省,计算机科学与技术,辽宁省大连市凌海路1号
"栾玉瑄',",大连市海洋与渔业局,辽宁省,海域和海岛管理,辽宁省大连市吉庆街100号
"马小军',",中国科学院大连化学物理研究所,辽宁省,生物医用材料工程,辽宁省大连市沙河口区中山路457号
"马永安',",国家海洋环境监测中心,辽宁省,海洋环境保护与监测与评价,辽宁省大连市沙河口区凌河街42号
"马悦欣',",大连海洋大学,辽宁省,鱼类集约化养殖技术研究,辽宁省大连市沙河口区黑石礁街52号
"苗丰民',",国家海洋环境监测中心,辽宁省,海域使用管理,辽宁省大连市沙河口区凌河街42号
"苗丽娟',",国家海洋环境监测中心,辽宁省,海洋生态环境保护,辽宁省大连市沙河口区凌河街42号
"那健',",中国船舶重工集团公司第七六〇研究所,辽宁省,船舶与海洋工程,辽宁省大连市中山区海滨街14号
"蒲红宇',",大连海洋大学,辽宁省,鱼类集约化养殖技术研究,辽宁省大连市沙河口区黑石礁街52号
"戚浩然',",大连市海洋与渔业局,辽宁省,海洋经济宏观调控管理,辽宁省大连市吉庆街100号
"乔翔',",大连海洋大学,辽宁省,海洋经济理论与政策,辽宁省大连市沙河口区黑石礁街52号
"秦龙',",大连海事大学,辽宁省,管理学,辽宁省大连市凌海路1号
"任福安',",大连海事大学,辽宁省,管理学,辽宁省大连市凌海路1号
"苏延明',",大连海洋大学,辽宁省,水产养殖学,辽宁省大连市沙河口区黑石礁街52号
"孙斌',",中国科学院沈阳自动化研究所,辽宁省,水下机器人及相关水下装备研发,辽宁省沈阳市沈河区南塔街114号
"孙冰',",大连海事大学,辽宁省,生物化学,辽宁省大连市凌海路1号
"孙才志',",辽宁师范大学,辽宁省,区域经济,暂无
